customer_id,name,age,occupation,dependents,monthly_income,monthly_expense,monthly_savings,savings_rate,existing_investment_value,equity_pct_current,debt_pct_current,sip_active,sip_amount,sip_missed_last_6m,txn_volatility,credit_card_utilization_pct,goal_horizon_years,risk_label
SAARTHI100000,Aditya Reddy,25,self_employed,1,29300.0,15000.0,14300.0,0.4881,375900.0,62.5,34.0,0,0.0,0,0.232,48.7,8.3,aggressive
SAARTHI100001,Sneha Gupta,52,salaried,3,76900.0,44500.0,32400.0,0.4213,3703500.0,38.9,58.9,0,0.0,0,0.35,14.3,1.0,moderate
SAARTHI100002,Meera Das,47,business_owner,3,66300.0,32900.0,33400.0,0.5038,349100.0,64.1,30.8,1,17400.0,2,0.201,41.3,19.9,moderate
SAARTHI100003,Deepak Iyer,39,self_employed,0,36100.0,21200.0,14900.0,0.4127,2072600.0,38.1,56.7,1,8300.0,0,0.268,45.3,10.5,aggressive
SAARTHI100004,Meera Menon,38,salaried,4,49700.0,26100.0,23600.0,0.4748,87300.0,49.9,44.5,1,12100.0,0,0.091,35.6,3.6,moderate
SAARTHI100005,Karan Sharma,55,business_owner,4,128200.0,85700.0,42500.0,0.3315,4903700.0,49.0,44.0,1,20500.0,0,0.153,26.7,9.3,conservative
SAARTHI100006,Sanjay Gupta,25,salaried,4,52100.0,30600.0,21500.0,0.4127,1413300.0,27.8,65.7,1,8400.0,1,0.191,12.6,1.0,moderate
SAARTHI100007,Ritu Reddy,49,salaried,0,123800.0,53600.0,70200.0,0.567,885200.0,30.1,62.5,1,30400.0,0,0.362,76.0,5.4,moderate
SAARTHI100008,Sanjay Iyer,29,salaried,1,49800.0,18300.0,31500.0,0.6325,76300.0,89.7,0.0,1,15000.0,0,0.251,58.7,19.6,aggressive
SAARTHI100009,Nikhil Verma,25,self_employed,1,129600.0,79800.0,49800.0,0.3843,2752700.0,27.2,70.7,0,0.0,0,0.375,48.1,7.3,moderate
SAARTHI100010,Kavya Joshi,42,salaried,2,61500.0,31700.0,29800.0,0.4846,1938700.0,52.4,42.3,1,11000.0,0,0.332,31.0,9.7,aggressive
SAARTHI100011,Arjun Patel,60,salaried,4,74700.0,38900.0,35800.0,0.4793,852700.0,56.6,43.4,0,0.0,0,0.322,53.3,9.2,conservative
SAARTHI100012,Karan Reddy,50,salaried,3,47800.0,33400.0,14400.0,0.3013,330900.0,43.9,55.7,1,5000.0,2,0.24,53.5,8.2,conservative
SAARTHI100013,Divya Reddy,51,salaried,3,92300.0,49800.0,42500.0,0.4605,4475200.0,58.4,32.5,0,0.0,0,0.308,37.0,6.0,moderate
SAARTHI100014,Aditya Joshi,49,salaried,2,56300.0,32100.0,24200.0,0.4298,652000.0,51.6,35.3,1,8400.0,0,0.328,55.0,23.4,moderate
SAARTHI100015,Manish Gupta,52,salaried,4,57000.0,40200.0,16800.0,0.2947,612500.0,27.6,67.8,1,8300.0,1,0.524,60.4,4.2,conservative
SAARTHI100016,Sanjay Joshi,42,salaried,4,89400.0,60100.0,29300.0,0.3277,1308600.0,55.7,38.3,1,17200.0,2,0.29,63.6,3.2,conservative
SAARTHI100017,Divya Chatterjee,26,salaried,4,71200.0,30800.0,40400.0,0.5674,1062700.0,34.1,62.8,1,23000.0,1,0.351,24.1,11.5,aggressive
SAARTHI100018,Karan Verma,54,salaried,4,95600.0,66200.0,29400.0,0.3075,5651800.0,79.8,18.1,1,15600.0,1,0.313,58.3,1.0,conservative
SAARTHI100019,Divya Bhatt,39,salaried,3,49400.0,28500.0,20900.0,0.4231,663600.0,53.6,33.1,1,11300.0,1,0.243,72.4,15.3,moderate
SAARTHI100020,Meera Menon,41,self_employed,0,59100.0,24800.0,34300.0,0.5804,678000.0,31.0,60.4,0,0.0,0,0.361,49.9,9.8,aggressive
SAARTHI100021,Sanjay Kulkarni,36,salaried,1,51700.0,25100.0,26600.0,0.5145,1300100.0,51.8,37.6,1,13100.0,0,0.463,93.3,11.2,moderate
SAARTHI100022,Meera Nair,29,salaried,3,63400.0,27900.0,35500.0,0.5599,1267600.0,26.5,60.3,0,0.0,0,0.31,39.8,11.0,aggressive
SAARTHI100023,Pooja Chatterjee,58,salaried,1,113100.0,57900.0,55200.0,0.4881,664600.0,50.2,41.0,1,32700.0,0,0.235,7.4,8.4,moderate
SAARTHI100024,Sanjay Menon,52,salaried,0,74400.0,24300.0,50100.0,0.6734,1515600.0,40.5,56.8,0,0.0,0,0.311,22.9,16.5,aggressive
SAARTHI100025,Shreya Reddy,47,salaried,4,120100.0,72600.0,47500.0,0.3955,1910100.0,28.5,60.8,0,0.0,0,0.336,32.4,12.5,moderate
SAARTHI100026,Kavya Kulkarni,37,self_employed,2,77300.0,42800.0,34500.0,0.4463,3067600.0,28.2,60.6,1,18500.0,0,0.503,58.4,12.9,moderate
SAARTHI100027,Vikram Kulkarni,54,salaried,4,64900.0,47200.0,17700.0,0.2727,376300.0,93.7,0.1,0,0.0,0,0.396,67.8,1.0,conservative
SAARTHI100028,Sneha Rao,43,salaried,1,77200.0,32500.0,44700.0,0.579,1936200.0,46.8,43.9,0,0.0,0,0.199,46.4,8.3,aggressive
SAARTHI100029,Suresh Kulkarni,39,salaried,1,101800.0,63700.0,38100.0,0.3743,1160700.0,36.4,56.3,0,0.0,0,0.429,54.0,9.7,moderate
SAARTHI100030,Nikhil Gupta,39,salaried,1,113900.0,66100.0,47800.0,0.4197,1226600.0,32.9,62.1,0,0.0,0,0.377,88.7,20.8,moderate
SAARTHI100031,Rahul Chatterjee,30,salaried,1,75700.0,34500.0,41200.0,0.5443,4201100.0,54.4,35.5,1,18600.0,0,0.373,25.8,1.9,aggressive
SAARTHI100032,Pooja Reddy,25,salaried,2,43300.0,19100.0,24200.0,0.5589,2626200.0,32.2,64.1,1,14000.0,0,0.326,42.2,6.0,aggressive
SAARTHI100033,Divya Desai,43,salaried,1,55300.0,20200.0,35100.0,0.6347,518300.0,23.1,72.0,0,0.0,0,0.366,32.4,16.9,aggressive
SAARTHI100034,Ananya Menon,56,salaried,4,82600.0,54100.0,28500.0,0.345,3078500.0,44.4,49.5,0,0.0,0,0.358,22.3,3.0,conservative
SAARTHI100035,Divya Kulkarni,24,self_employed,1,91400.0,39200.0,52200.0,0.5711,3446700.0,44.2,46.6,0,0.0,0,0.261,0.0,6.5,aggressive
SAARTHI100036,Arjun Iyer,55,business_owner,2,98100.0,63600.0,34500.0,0.3517,1796500.0,36.7,50.5,1,7700.0,0,0.329,76.5,19.8,conservative
SAARTHI100037,Karan Nair,54,salaried,4,78000.0,44400.0,33600.0,0.4308,1620300.0,27.2,63.6,1,11800.0,0,0.295,29.6,10.8,moderate
SAARTHI100038,Anjali Joshi,32,salaried,2,50100.0,23000.0,27100.0,0.5409,116200.0,37.2,51.9,0,0.0,0,0.32,38.7,14.9,aggressive
SAARTHI100039,Isha Nair,46,self_employed,0,59000.0,27800.0,31200.0,0.5288,1263000.0,35.6,60.0,1,16600.0,0,0.298,53.9,15.3,aggressive
SAARTHI100040,Aarav Verma,28,salaried,0,42700.0,16600.0,26100.0,0.6112,292100.0,32.8,58.4,0,0.0,0,0.25,16.6,11.7,aggressive
SAARTHI100041,Divya Rao,51,self_employed,2,72200.0,39000.0,33200.0,0.4598,688200.0,50.5,47.9,1,12500.0,0,0.285,27.4,10.3,moderate
